-511,275,-178,443,-883,75,-517,655,-62,-437,-57,-293,642,-848,374
-515,937,-307,429,933,-399,411,302,140,-480,-38,-795,-300,490,-849
654,494,673,551,838,-679,-606,-889,599,814,-437,-917,-553,-396,271
-928,-219,635,-433,-63,46,-26,151,-204,-247,170,899,846,356,-67
-694,760,-726,-90,687,263,-610,444,560,-561,959,-470,-942,540,468
551,-142,659,19,542,495,-210,-340,159,-211,-334,-346,452,-367,104
768,132,-783,-568,414,348,-987,228,254,-100,731,604,574,-413,-322
-106,-149,909,145,150,640,232,703,-26,-82,554,-218,-478,326,-852
-775,23,158,-472,-578,774,490,-956,-699,754,286,-213,-888,-928,603
685,471,294,-627,167,-765,-331,-953,-148,162,30,303,-172,317,89
-305,254,836,829,254,953,-156,965,327,-230,-14,52,-294,889,-584
591,559,196,233,963,696,357,-765,-979,849,-706,-284,-169,-962,-233
-447,-251,323,41,965,-693,-19,-331,901,478,156,-67,278,-717,-308
-250,682,471,-676,355,-178,-595,959,-638,-468,-575,617,614,-559,-640
261,424,799,-94,-637,622,-402,-940,-309,-340,-54,-425,-900,746,923
