Longitude;Latitude;FID;name;total_slot;operative;id
24.950292890004903;60.155444793742276;1;Kaivopuisto;30;Yes;001
24.956347471358754;60.160959093887129;2;Laivasillankatu;12;Yes;002
24.944927399779715;60.158189199971673;3;Kapteeninpuistikko;16;Yes;003
24.941775800312996;60.16098589997938;4;Viiskulma;14;Yes;004
24.93628529982675;60.157948300373846;5;Sepankatu;32;Yes;005
24.929709900391629;60.162225100108344;6;Hietalahdentori;24;Yes;006
24.945959999554361;60.163103199952786;7;Designmuseo;14;Yes;007
24.939149900447603;60.165288299815245;8;Vanha kirkkopuisto;24;Yes;008
24.944134928883898;60.166911666939939;9;Erottajan aukio;1;Yes;009
24.949472879170116;60.165017180298662;10;Kasarmitori;28;Yes;010
24.951022699737848;60.167457300014462;11;Unioninkatu;22;Yes;011
24.958381399681912;60.168384000121591;12;Kanavaranta;26;Yes;012
24.975534099818901;60.167870300174286;13;Merisotilaantori;12;Yes;013
24.95264140028047;60.169127799708235;14;Senaatintori;22;Yes;014
24.95555819305622;60.171106645455382;15;Ritarikatu;12;Yes;015
24.961374699582791;60.174182200048563;16;Liisanpuistikko;16;Yes;016
24.94947909978066;60.173102900278707;17;Varsapuistikko;28;Yes;017
24.94814639983656;60.169862228359193;18;Porthania;21;Yes;018
24.942526799871985;60.170823600029166;19;Rautatientori / ita;20;Yes;019
24.943301001040425;60.173198941577937;20;Kaisaniemenpuisto;22;Yes;020
24.939284000156533;60.172943499942619;21;Toolonlahdenkatu;48;Yes;021
24.939760100348394;60.170606099891643;22;Rautatientori / lansi;16;Yes;022
24.937427900177511;60.171257899732325;23;Kiasma;30;Yes;023
24.939419500109921;60.169072399671563;24;Mannerheimintie;20;Yes;024
24.93512120028322;60.170084399575444;25;Narinkka;40;Yes;025
24.930537300056415;60.168609499728689;26;Kampin metroasema;32;Yes;026
24.935785099602697;60.167333199867358;27;Eerikinkatu;14;Yes;027
24.927021000318973;60.165812100048413;28;Lastenlehto;16;Yes;028
24.922565800271514;60.164087999861351;29;Baana;16;Yes;029
24.914516500136415;60.163530900430771;30;Itamerentori;40;Yes;030
24.922076300181175;60.16809979996583;31;Marian Sairaala;16;Yes;031
24.931223405435844;60.171870055658587;32;Elainmuseo;20;No;032
24.924960999750397;60.171159100212378;33;Kauppakorkeakoulu;16;Yes;033
24.932987500272986;60.173964100063245;34;Kansallismuseo;16;Yes;034
24.928227580238683;60.174063715268289;35;Cygnauksenkatu;16;Yes;035
24.922394199732594;60.176079800142702;36;Apollonkatu;12;Yes;036
24.928327199940384;60.177559800044776;37;Toolonkatu;18;Yes;037
24.924911400340932;60.179123099651406;38;Toolontori;16;Yes;038
24.926687000204936;60.18255289989645;39;Ooppera;24;Yes;039
24.952181248665738;60.178106316253547;40;Hakaniemen metroasema;28;Yes;040
24.949399999910099;60.1808630000275;41;Ympyratalo;28;Yes;041
24.955180821337876;60.183106582802623;42;Haapaniemenkatu;18;Yes;042
24.952676300271094;60.184283299834476;43;Karhupuisto;20;Yes;043
24.960892106285712;60.18803805391309;44;Sornaisten metroasema;20;Yes;044
24.950916800070331;60.186861800032091;45;Brahen kentta;20;Yes;045
24.941857599948321;60.186287699817569;46;Diakoniapuisto;10;Yes;046
24.953504666707033;60.166730718847646;47;Vanha Kauppahalli;23;Yes;047
24.967486100103486;60.164754500020194;48;Mastokatu;16;Yes;048
24.941770842350536;60.163458942975865;49;Annankatu;16;Yes;049
24.886109399729037;60.149812700395842;50;Melkonkuja;12;Yes;050
24.881250199936801;60.150660000258881;51;Italahdenkatu;12;Yes;051
24.879315900308598;60.15407629988141;52;Heikkilanaukio;20;Yes;052
24.88506530032339;60.156817000004594;53;Heikkilantie;12;Yes;053
24.876665799686975;60.158384199970897;54;Gyldenintie;36;Yes;054
24.859866268713404;60.161695961499504;55;Puistokaari;16;Yes;055
24.860199200432817;60.165448499648619;56;Luoteisvayla;12;Yes;056
24.881544100180122;60.160330599977272;57;Lauttasaaren ostoskeskus;26;Yes;057
24.892638600091345;60.161551200327665;58;Lauttasaarensilta;20;Yes;058
24.900960803098656;60.164781380756153;59;Salmisaarenranta;20;Yes;059
24.905336000356158;60.163249300215114;60;Porkkalankatu;40;Yes;060
