Longitude;Latitude;FID;name;total_slot;operative;id
24.950292890004903;60.155444793742276;1;Kaivopuisto;30;Yes;001
24.956347471358754;60.160959093887129;2;Laivasillankatu;12;Yes;002
24.944927399779715;60.158189199971673;3;Kapteeninpuistikko;16;Yes;003
24.941775800312996;60.16098589997938;4;Viiskulma;14;Yes;004
24.93628529982675;60.157948300373846;5;Sepankatu;32;Yes;005
24.929709900391629;60.162225100108344;6;Hietalahdentori;24;Yes;006
24.945959999554361;60.163103199952786;7;Designmuseo;14;Yes;007
24.939149900447603;60.165288299815245;8;Vanha kirkkopuisto;24;Yes;008
24.944134928883898;60.166911666939939;9;Erottajan aukio;1;Yes;009
24.949472879170116;60.165017180298662;10;Kasarmitori;28;Yes;010
24.804734999820425;60.226378999990914;336;Leppavaaran uimahalli;18;Yes;747
24.813871000246536;60.228462999867588;337;Vallikatu;24;Yes;749
24.819613999786327;60.227827000215939;338;Vallipolku;20;Yes;751
24.81395399957745;60.234401000305979;339;Linnuntie;24;Yes;753
24.824561000389906;60.230452999906049;340;Kutsuntatie;16;Yes;755
24.831396999971616;60.235088999657648;341;Painiitty;12;Yes;757
24.839389999848663;60.220466999852192;342;Makkylan asema;32;Yes;761
24.83353599968666;60.22055100012858;343;Kalkkipellonmaki;24;Yes;763
24.820635000105199;60.223377000048572;344;Ruutikatu;10;Yes;767
24.814793999643427;60.204582000259165;345;Tiurintie;12;Yes;769
